Point1,Point2,ActualCost
A,C,7.5935704
B,C,27.5953439
B,A,27.2079295
C,A,1.3624412
A,B,4.2370816
C,B,1.4104785
A,C,7.271922
B,C,28.5249404
B,A,27.4676738
C,A,1.3340978000000001
A,B,3.3538678
C,B,1.4052521999999998
A,C,7.839995
B,C,28.2545467
B,A,27.4728546
C,A,1.346873
A,B,3.674812
C,B,1.4099767
A,C,6.642177799999999
B,C,28.863463199999998
B,A,27.158202600000003
C,A,1.4090035
A,B,3.6237284
C,B,1.4247355
A,C,7.5185473
B,C,27.8074186
B,A,28.364406300000002
C,A,1.4265325
A,B,3.1202642000000003
C,B,1.3454591
A,C,4.8684363
B,C,27.926799900000002
B,A,27.6983714
C,A,1.3503682
A,B,4.9292759
C,B,1.3591694
A,C,8.2558029
B,C,29.0616327
B,A,27.1773277
C,A,1.3437081
A,B,3.5560552
C,B,1.3923001
A,C,15.1330367
B,C,27.392302700000002
B,A,27.0591744
C,A,1.3551905
A,B,3.9856382
C,B,1.4059965
A,C,7.1254912
B,C,29.474505600000004
B,A,27.809148200000003
C,A,1.3510363
A,B,3.6703013
C,B,1.3480426
A,C,9.2961013
B,C,27.7305102
B,A,27.7704905
C,A,1.4026663000000001
A,B,3.1212139
C,B,1.3498542
A,C,13.6010549
B,C,28.5693798
B,A,27.1208998
C,A,1.4088135
A,B,3.1857603
C,B,1.3446171
A,C,9.7186015
B,C,28.2935206
B,A,27.756615399999998
C,A,1.3507251
A,B,3.3770415000000003
C,B,1.4206914
A,C,8.4638498
B,C,27.6599599
B,A,27.5034239
C,A,1.3460327
A,B,3.622719
C,B,1.3510108
A,C,8.5915575
B,C,28.3469999
B,A,27.812154200000002
C,A,1.3496933
A,B,3.8562432999999996
C,B,1.3469893999999998
A,C,7.932771799999999
B,C,28.2903843
B,A,28.43877
C,A,1.4318440000000001
A,B,3.6058327000000006
C,B,1.4163139
A,C,10.5498794
B,C,27.5994793
B,A,27.427200199999998
C,A,1.3505346
